Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,00:00,23.7,1.4,193.2,1012.1,22.9,90.0,0.0,0.0,95.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,01:00,23.4,1.7,193.9,1011.4,22.8,100.0,0.0,0.0,96.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,02:00,23.2,1.6,189.4,1011.1,22.7,90.0,0.0,0.0,96.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,03:00,23.1,1.6,199.4,1010.6,22.5,90.0,0.0,0.0,96.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,04:00,23.0,1.7,200.0,1010.8,22.5,90.0,0.0,0.0,97.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,05:00,23.0,1.7,200.0,1011.3,22.6,90.0,0.0,0.0,97.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,06:00,23.1,1.5,200.0,1012.1,22.6,90.0,0.0,0.0,97.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,07:00,23.4,1.4,200.0,1012.8,23.1,90.0,0.0,0.0,98.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,08:00,24.4,1.9,210.4,1013.3,24.1,100.0,0.0,0.0,98.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,09:00,25.3,2.3,213.9,1013.1,24.5,100.0,0.0,0.0,95.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,10:00,26.2,2.2,213.9,1013.0,25.0,100.0,0.0,0.0,93.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,11:00,26.6,2.1,223.9,1012.6,24.5,100.0,0.0,0.0,88.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,12:00,26.9,1.9,224.9,1011.8,24.6,100.0,0.0,0.0,87.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,13:00,27.3,1.8,233.9,1011.0,23.3,100.0,0.0,0.0,78.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,14:00,27.8,1.9,242.8,1010.0,23.2,90.0,2.5,0.0,76.1,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,15:00,27.9,1.8,232.8,1009.4,23.0,80.0,4.9,0.0,74.5,Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,16:00,27.7,1.8,223.5,1009.3,23.1,80.0,7.5,0.0,76.4,Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,17:00,26.8,1.7,223.5,1009.6,23.2,80.0,6.4,0.0,80.8,Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,18:00,25.6,1.8,220.0,1010.2,23.5,70.0,6.0,0.0,88.1,Parcialmente Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,19:00,24.8,2.0,203.9,1010.8,23.7,70.0,5.1,10.0,93.3,Parcialmente Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,20:00,22.9,1.8,193.5,1011.3,21.9,70.4,3.3,60.0,94.3,Parcialmente Nublado - Tormenta
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,21:00,22.6,1.9,192.8,1011.8,21.7,80.0,1.7,0.0,94.7,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,22:00,22.4,1.9,183.9,1012.4,21.7,80.0,0.0,0.0,95.7,Nublado
